     0: >>> E[0:00:00]-R[?]: Return=   -0.9855, Steps=6.46, Features = 20
    25: E[0:00:02]-R[0:02:34]: Return=      0.98, Steps=  21, Features = 20
    38: E[0:00:03]-R[0:02:36]: Return=    -1.008, Steps=   9, Features = 20
   154: E[0:00:11]-R[0:02:17]: Return=     0.896, Steps= 105, Features = 20
   163: E[0:00:13]-R[0:02:21]: Return=        -1, Steps=   1, Features = 20
   177: E[0:00:14]-R[0:02:21]: Return=        -1, Steps=   1, Features = 20
   200: E[0:00:15]-R[0:02:18]: Return=     0.978, Steps=  23, Features = 20
   200: >>> E[0:00:15]-R[0:02:19]: Return=    -1.028, Steps=28.59, Features = 20
   223: E[0:00:17]-R[0:02:16]: Return=     0.978, Steps=  23, Features = 20
   267: E[0:00:21]-R[0:02:13]: Return=    -1.035, Steps=  36, Features = 20
   400: >>> E[0:00:30]-R[0:02:00]: Return=    0.4545, Steps=66.55, Features = 20
   431: E[0:00:32]-R[0:01:58]: Return=     0.974, Steps=  27, Features = 20
   464: E[0:00:35]-R[0:01:55]: Return=     0.968, Steps=  33, Features = 20
   480: E[0:00:36]-R[0:01:54]: Return=    -1.003, Steps=   4, Features = 20
   516: E[0:00:39]-R[0:01:51]: Return=     -1.03, Steps=  31, Features = 20
   537: E[0:00:40]-R[0:01:50]: Return=      0.98, Steps=  21, Features = 20
   551: E[0:00:42]-R[0:01:49]: Return=    -1.003, Steps=   4, Features = 20
   585: E[0:00:44]-R[0:01:47]: Return=     0.976, Steps=  25, Features = 20
   600: >>> E[0:00:46]-R[0:01:46]: Return=   -0.2671, Steps=28.11, Features = 20
   626: E[0:00:47]-R[0:01:44]: Return=     0.962, Steps=  39, Features = 20
   657: E[0:00:50]-R[0:01:42]: Return=      0.97, Steps=  31, Features = 20
   685: E[0:00:52]-R[0:01:39]: Return=     0.976, Steps=  25, Features = 20
   710: E[0:00:54]-R[0:01:37]: Return=     0.976, Steps=  25, Features = 20
   756: E[0:00:57]-R[0:01:34]: Return=     0.956, Steps=  45, Features = 20
   800: >>> E[0:01:00]-R[0:01:31]: Return=    0.6736, Steps=27.36, Features = 20
   829: E[0:01:02]-R[0:01:28]: Return=     0.978, Steps=  23, Features = 20
   842: E[0:01:04]-R[0:01:28]: Return=    -1.004, Steps=   5, Features = 20
   866: E[0:01:05]-R[0:01:26]: Return=     0.988, Steps=  13, Features = 20
   892: E[0:01:08]-R[0:01:24]: Return=     0.982, Steps=  19, Features = 20
   909: E[0:01:09]-R[0:01:23]: Return=     0.984, Steps=  17, Features = 20
     0: >>> E[0:00:00]-R[?]: Return=   -0.9855, Steps=6.46, Features = 20
    25: E[0:00:02]-R[0:02:32]: Return=      0.98, Steps=  21, Features = 20
    38: E[0:00:03]-R[0:02:35]: Return=    -1.008, Steps=   9, Features = 20
     0: >>> E[0:00:00]-R[?]: Return=   -0.9855, Steps=6.46, Features = 20
    25: E[0:00:02]-R[0:02:32]: Return=      0.98, Steps=  21, Features = 20
    38: E[0:00:03]-R[0:02:35]: Return=    -1.008, Steps=   9, Features = 20
   154: E[0:00:11]-R[0:02:16]: Return=     0.896, Steps= 105, Features = 20
   163: E[0:00:12]-R[0:02:21]: Return=        -1, Steps=   1, Features = 20
   177: E[0:00:14]-R[0:02:20]: Return=        -1, Steps=   1, Features = 20
   200: E[0:00:15]-R[0:02:18]: Return=     0.978, Steps=  23, Features = 20
     0: >>> E[0:00:00]-R[?]: Return=   -0.9855, Steps=6.46, Features = 20
    25: E[0:00:02]-R[0:02:32]: Return=      0.98, Steps=  21, Features = 20
    38: E[0:00:03]-R[0:02:35]: Return=    -1.008, Steps=   9, Features = 20
